rank,name
1,Argentina
2,France
3,Spain
4,England
5,Brazil
6,Morocco
7,Portugal
8,Netherlands
9,Germany
10,Belgium
11,Mexico
12,Colombia
13,Italy
14,Croatia
15,USA
16,Senegal
17,Japan
18,Uruguay
19,Switzerland
20,Denmark
21,Austria
22,Australia
23,Iran
24,South Korea
25,Nigeria
26,Turkiye
27,Norway
28,Canada
29,Ecuador
30,Egypt
31,Ivory Coast
32,Algeria
33,Ukraine
34,Sweden
35,Russia
36,Poland
37,Scotland
38,Wales
39,Hungary
40,Panama
41,Serbia
42,Paraguay
43,Congo DR
44,Czechia
45,Cameroon
46,Slovakia
47,Greece
48,Venezuela
49,Chile
50,Peru
51,Costa Rica
52,Romania
53,Mali
54,Tunisia
55,Uzbekistan
56,Republic of Ireland
57,Slovenia
58,Qatar
59,Saudi Arabia
60,Iraq
61,South Africa
62,Burkina Faso
63,Cape Verde
64,Bosnia and Herzegovina
65,Ghana
66,Honduras
67,Albania
68,Jordan
69,United Arab Emirates
70,North Macedonia
71,Northern Ireland
72,Jamaica
73,Georgia
74,Iceland
75,Finland
76,Israel
77,Bolivia
78,Kosovo
79,Oman
80,Montenegro
81,Guinea
82,New Zealand
83,Curacao
84,Syria
85,Haiti
86,Gabon
87,Bulgaria
88,Angola
89,Uganda
90,Zambia
91,China
92,Bahrain
93,Benin
94,Thailand
95,Palestine
96,Belarus
97,Guatemala
98,Luxembourg
99,Vietnam
100,El Salvador
101,Tajikistan
102,Trinidad and Tobago
103,Mozambique
104,Madagascar
105,Equatorial Guinea
106,Kyrgyz Republic
107,Armenia
108,Comoros
109,Kenya
110,Libya
111,Kazakhstan
112,Tanzania
113,Mauritania
114,Niger
115,Lebanon
116,The Gambia
117,Sudan
118,Indonesia
119,Togo
120,North Korea
121,Namibia
122,Sierra Leone
123,Faroe Islands
124,Cyprus
125,Suriname
126,Azerbaijan
127,Estonia
128,Rwanda
129,Malawi
130,Zimbabwe
131,Nicaragua
132,Guinea-Bissau
133,Kuwait
134,Congo
135,Philippines
136,Malaysia
137,Latvia
138,India
139,Central African Republic
140,Liberia
141,Turkmenistan
142,Burundi
143,Ethiopia
144,Dominican Republic
145,Yemen
146,Lesotho
147,Botswana
148,Singapore
149,Lithuania
150,Guyana
151,New Caledonia
152,St. Kitts and Nevis
153,Solomon Islands
154,Puerto Rico
155,Fiji
156,Hong Kong
157,Tahiti
158,Myanmar
159,Moldova
160,Vanuatu
161,Malta
162,Antigua and Barbuda
163,Grenada
164,Cuba
165,Eswatini
166,St. Lucia
167,Bermuda
168,Papua New Guinea
169,South Sudan
170,St. Vincent / Grenadines
171,Afghanistan
172,Andorra
173,Maldives
174,Chinese Taipei
175,Cambodia
176,Montserrat
177,Nepal
178,Mauritius
179,Barbados
180,Belize
181,Bangladesh
182,Dominica
183,Chad
184,Eritrea
185,Laos
186,Cook Islands
187,Sri Lanka
188,Samoa
189,Aruba
190,Mongolia
191,American Samoa
192,Bhutan
193,Macau
194,Brunei
195,S?o Tom‚ and Prˇncipe
196,Djibouti
197,Cayman Islands
198,Pakistan
199,Somalia
200,Tonga
201,Timor-Leste
202,Gibraltar
203,Guam
204,Seychelles
205,Turks and Caicos Islands
206,Liechtenstein
207,Bahamas
208,US Virgin Islands
209,British Virgin Islands
210,Anguilla
211,San Marino
